ticker,issuer_name,cik,sector,status,archetype_guess,config_path,last_checked_at,last_filing_date_seen,last_processed_period,activation_fail_count,notes
DLTR,Dollar Tree,935703,Consumer Staples,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dltr.yaml,2026-06-03T10:44:41Z,2026-01-31,,0,
D,Dominion Energy,715957,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/d.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DPZ,Domino's,1286681,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dpz.yaml,2026-06-03T10:44:41Z,2026-03-22,,0,
DASH,DoorDash,1792789,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dash.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DOV,Dover Corporation,29905,Industrials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dov.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DOW,Dow Inc.,1751788,Materials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dow.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DHI,D. R. Horton,882184,Consumer Discretionary,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dhi.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DTE,DTE Energy,936340,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dte.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DUK,Duke Energy,1326160,Utilities,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/duk.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
DD,DuPont,1666700,Materials,active,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dd.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
ETN,Eaton Corporation,1551182,Industrials,active_needs_review,,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/etn.yaml,2026-06-03T10:44:41Z,2026-03-31,,0,
